name,house,birth
Adelaide Murton,Slytherin,1982
Adrian Pucey,Slytherin,1977
Anthony Goldstein,Ravenclaw,1980
Blaise Zabini,Slytherin,1979
Cedric Diggory,Hufflepuff,1977
Cho Chang,Ravenclaw,1979
Colin Creevey,Gryffindor,1981
Dean Thomas,Gryffindor,1980
Draco Lucius Malfoy,Slytherin,1980
Ernest Macmillan,Hufflepuff,1980
Ginevra Molly Weasley,Gryffindor,1981
Gregory Goyle,Slytherin,1980
Hannah Abbott,Hufflepuff,1980
Harry James Potter,Gryffindor,1980
Hermione Jean Granger,Gryffindor,1979
Isobel MacDougal,Ravenclaw,1980
Justin Finch-Fletchley,Hufflepuff,1979
Lavender Brown,Gryffindor,1979
Lisa Turpin,Ravenclaw,1979
Luna Lovegood,Ravenclaw,1981
Mandy Brocklehurst,Ravenclaw,1979
Marcus Flint,Slytherin,1975
Marietta Edgecombe,Ravenclaw,1978
Michael Corner,Ravenclaw,1979
Millicent Bulstrode,Slytherin,1979
Neville Longbottom,Gryffindor,1980
Padma Patil,Ravenclaw,1979
Pansy Parkinson,Slytherin,1979
Parvati Patil,Gryffindor,1979
Penelope Clearwater,Ravenclaw,1976
Robert Hilliard,Ravenclaw,1974
Roger Davies,Ravenclaw,1978
Romilda Vane,Gryffindor,1981
Ronald Bilius Weasley,Gryffindor,1980
Seamus Finnigan,Gryffindor,1979
Susan Bones,Hufflepuff,1979
Terence Higgs,Slytherin,1979
Terry Boot,Ravenclaw,1980
Tracey Davis,Slytherin,1980
Vincent Crabbe,Slytherin,1979
